title,primaryNo,mobileNo,address,locality,city
"Nainis","(011) 25157153","9810624426","Nainis","Rajauri Garden","Delhi"
"Pashma","(011) 29551877","(011) 29552158","Pashma","Sainik Farm","Delhi"
"Pawans","(011) 24626538","(011) 46013552","Pawans","South Extension 1","Delhi"
"Petals","(0124) 4270651",,"Petals","Sector 15-II","Gurgaon"
"Solave","(011) 25137129","9811063202","Solave","Subhash Nagar","Delhi"
"Vastra","(011) 25883017",,"Vastra","West Patel Nagar","Delhi"
"Zephyr","(011) 26894113","9811693882","Zephyr","Vasant Kunj","Delhi"
"Arushii","(011) 23845522","9810663576","Arushii","Kamla nagar","Delhi"
"Citrine","(011) 40532043","(011) 65515222","Citrine","Kalkaji","Delhi"
"Kalpana","(0120) 4312759","(0120) 4312760","Kalpana","Sector 18","Noida"
"Lacoste","(011) 41093013",,"Lacoste","Saket","Delhi"
"Nikasha","(011) 26490080","9892068523","Nikasha","Shahpur Jat","Delhi"
"Pahnawa","9810547164",,"Pahnawa","Sector 61","Noida"
"Saakshi","9350057145",,"Saakshi","Kalkaji","Delhi"
"Abu Jain","(011) 41420737",,"Abu Jain","Mangla Puri","Delhi"
"Amrapali","(011) 41724235",,"Amrapali","Lajpat Nagar","Delhi"
"Amrita's","(011) 41447195","9868162646","Amrita's","Rajouri Garden","Delhi"
"Ensemble","(011) 46040745","(011) 46040746","Ensemble","Vasant Kunj","Delhi"
"Fab Idea","(0129) 4081665","9810015300","Fab Idea","NIT","Faridabad"
"Kabbalah","9311220174","9971130174","Kabbalah","Sector 4","Noida"
"Kay Sons","9212591262","9212591263","Kay Sons","Karol Bagh","Delhi"
"Negchaar","9811023800",,"Negchaar","Ashok Vihar Phase 2","Delhi"
"Potraits","(011) 26519405",,"Potraits","Hauz Khas","Delhi"
"Red Rose","(011) 23842192",,"Red Rose","Kamla Nagar","Delhi"
"Sharmans","(011) 32678705","9312286991","Sharmans","Chirag","Delhi"
"The Cube","(0124) 4117712",,"The Cube",,"Gurgaon"
"AK Tailor","9999258056","9910394239","AK Tailor","Jia Sarai","Delhi"
"Alankriti","(0124) 4273475","9810052647","Alankriti","DLF Phase 4","Gurgaon"
"Aphrodite","(011) 41322934",,"Aphrodite","Hauz Khas Village","Delhi"
"Creations","(011) 26470744","9818466636","Creations","East Of Kailash","Delhi"
"DA Milano","(011) 26252606","(011) 41642606","DA Milano","South Extension Part 2","Delhi"
"Feminique","(011) 32980088","9310234500","Feminique","Panchsheel Park","Delhi"
"Fragrance","(011) 26691559",,"Fragrance","Malviya Nagar","Delhi"
"Ghoonghat","(011) 29843939","9810474487","Ghoonghat","Lajpat Nagar 2","Delhi"
"Joy Mitra","(011) 29220110","9810495238","Joy Mitra","Shahpur Jat","Delhi"
"Marwari's","(011) 26566556",,"Marwari's","Hauz Khas","Delhi"
"Ravissant","(011) 26324402","(011) 6837278","Ravissant","New Friends Colony","Delhi"
"Sanskruti","(011) 22548384","9899646694","Sanskruti","Krishna Nagar","Delhi"
"Studio MG","(011) 25268889","(011) 42311970","Studio MG","Paschim Vihar","Delhi"
"The Worth","(011) 25276126",,"The Worth","Paschim Vihar","Delhi"
